Country,Employment,ConvertedComp,EdLevel,YearsCodePro
United Kingdom,Employed full-time,58167.0,Some college/university study without earning a degree,8
United Kingdom,Employed full-time,27144.0,Some college/university study without earning a degree,5
Netherlands,Employed full-time,70264.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16
Lithuania,Employed full-time,64860.0,Some college/university study without earning a degree,19
Croatia,Employed full-time,31344.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
France,Employed full-time,48644.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Germany,Employed full-time,48644.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15
Argentina,"Independent contractor, freelancer, or self-employed",36000.0,Some college/university study without earning a degree,6
Portugal,Employed full-time,48644.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",30
Germany,"Independent contractor, freelancer, or self-employed",64859.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
India,Employed full-time,8376.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Italy,Employed full-time,22956.0,Some college/university study without earning a degree,2
Poland,Employed full-time,22776.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
United States,Employed full-time,55900.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United Kingdom,Employed full-time,96945.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13
Turkey,Employed full-time,25644.0,"Associate degree (A.A., A.S., etc.)",10
France,Employed full-time,64859.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
India,Employed full-time,19546.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United Kingdom,Employed full-time,96945.0,"Associate degree (A.A., A.S., etc.)",35
Germany,Employed full-time,75669.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Netherlands,Employed full-time,56211.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United Kingdom,Employed full-time,84019.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22
Serbia,Employed full-time,22032.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7
Spain,Employed full-time,48644.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United Kingdom,Employed full-time,511872.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Germany,Employed full-time,700476.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United Kingdom,Employed full-time,465336.0,"Associate degree (A.A., A.S., etc.)",13
Czech Republic,"Independent contractor, freelancer, or self-employed",78000.0,Some college/university study without earning a degree,10
Spain,Employed full-time,24863.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year
United Kingdom,Employed full-time,64630.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
United Kingdom,Employed full-time,54289.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Poland,Employed full-time,33408.0,Some college/university study without earning a degree,4
South Africa,Employed full-time,64044.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
Finland,Employed full-time,52920.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17
United Kingdom,Employed full-time,25852.0,Some college/university study without earning a degree,15
Germany,Employed full-time,67021.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9
Hungary,Employed full-time,38484.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
United Kingdom,"Independent contractor, freelancer, or self-employed",155111.0,Some college/university study without earning a degree,10
Sweden,Employed full-time,55224.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Ireland,Employed full-time,108098.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
United Kingdom,Employed full-time,279204.0,Some college/university study without earning a degree,2
France,Employed full-time,51887.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United Kingdom,"Independent contractor, freelancer, or self-employed",58167.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",16
United Kingdom,Employed full-time,32961.0,Some college/university study without earning a degree,1
Germany,Employed full-time,44320.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Germany,Employed full-time,9084.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1
United Kingdom,"Independent contractor, freelancer, or self-employed",232668.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30
Italy,Employed full-time,16212.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2
Ireland,"Independent contractor, freelancer, or self-employed",215115.0,Some college/university study without earning a degree,27
Serbia,Employed full-time,15972.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United Kingdom,Employed full-time,60752.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1
Russian Federation,Employed full-time,36804.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United Kingdom,"Independent contractor, freelancer, or self-employed",161550.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,Employed full-time,46533.0,Some college/university study without earning a degree,4
Denmark,Employed full-time,104208.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30
South Africa,Employed full-time,44028.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Iraq,Employed part-time,15096.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Denmark,Employed full-time,83364.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
Spain,Employed full-time,41077.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17
Germany,Employed full-time,70264.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9
Lithuania,Employed full-time,49296.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Italy,Employed part-time,10380.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United Kingdom,Employed full-time,43948.0,Some college/university study without earning a degree,5
Poland,Employed full-time,42528.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13
Germany,"Independent contractor, freelancer, or self-employed",189150.0,Some college/university study without earning a degree,20
Bulgaria,Employed full-time,33156.0,Some college/university study without earning a degree,10
France,"Independent contractor, freelancer, or self-employed",1560.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Italy,Employed full-time,32424.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
Czech Republic,Employed full-time,36372.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11
Finland,Employed full-time,71340.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
France,Employed full-time,32429.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Italy,Employed full-time,56211.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",22
Pakistan,"Independent contractor, freelancer, or self-employed",40086.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
Slovenia,Employed full-time,28536.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,Employed full-time,127967.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11
United Kingdom,Employed full-time,1000000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27
United Kingdom,Employed full-time,72252.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Ukraine,Employed full-time,19572.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Germany,Employed full-time,86478.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13
India,Employed part-time,3348.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",2
United Kingdom,Employed full-time,54289.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
United Kingdom,Employed full-time,34900.0,Some college/university study without earning a degree,8
Italy,Employed full-time,45401.0,Some college/university study without earning a degree,8
Estonia,Employed full-time,23352.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year
Canada,Employed full-time,1000000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
Uganda,Employed full-time,19644.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Ukraine,Employed full-time,44040.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Sweden,Employed full-time,62353.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
India,Employed full-time,13962.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Ukraine,Employed full-time,53832.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11
Finland,Employed full-time,59454.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5
United Kingdom,Employed full-time,48084.0,Some college/university study without earning a degree,9
Netherlands,Employed full-time,54049.0,Some college/university study without earning a degree,14
Spain,Employed full-time,25944.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
France,Employed full-time,43239.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
India,Employed full-time,23735.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12
Sweden,Employed full-time,41856.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
South Africa,"Independent contractor, freelancer, or self-employed",20016.0,I never completed any formal education,3
United States,Employed full-time,2000000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
France,Employed full-time,42158.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Australia,Employed full-time,98878.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Poland,Employed full-time,13162.0,Primary/elementary school,3
United States,Employed full-time,72800.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",5
Russian Federation,Employed part-time,7548.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Spain,Employed full-time,21620.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Netherlands,Employed full-time,64859.0,"Associate degree (A.A., A.S., etc.)",19
Germany,Employed full-time,54049.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
Ireland,Employed full-time,70264.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13
United Kingdom,Employed full-time,45241.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14
United Kingdom,Employed full-time,45241.0,Some college/university study without earning a degree,6
Austria,Employed full-time,1000000.0,Some college/university study without earning a degree,8
Russian Federation,Employed full-time,26424.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
United Kingdom,Employed full-time,868620.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17
Netherlands,Employed full-time,28020.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
Switzerland,Employed full-time,224136.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
Sweden,Employed full-time,50316.0,Some college/university study without earning a degree,8
United States,Employed full-time,55000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
United States,Employed full-time,80000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Italy,Employed full-time,518868.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21
India,Employed full-time,7032.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Spain,Employed full-time,37834.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18
Singapore,Employed full-time,35280.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
France,Employed full-time,28105.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1
Poland,Employed full-time,83531.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
India,Employed full-time,23735.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
India,Employed full-time,16754.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Serbia,Employed full-time,41508.0,Some college/university study without earning a degree,11
Spain,Employed full-time,59454.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
Germany,Employed part-time,7788.0,Some college/university study without earning a degree,4
The former Yugoslav Republic of Macedonia,Employed full-time,9468.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United Kingdom,Employed full-time,55889.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Italy,Employed full-time,18156.0,Some college/university study without earning a degree,12
Germany,Employed full-time,107017.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
United Kingdom,Employed full-time,31643.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Hungary,Employed full-time,19248.0,"Associate degree (A.A., A.S., etc.)",3
Germany,Employed full-time,71345.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9
France,"Independent contractor, freelancer, or self-employed",108098.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Sweden,Employed full-time,51552.0,Some college/university study without earning a degree,21
France,Employed full-time,49725.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
France,Employed full-time,51887.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Iran,Employed full-time,34200.0,"Associate degree (A.A., A.S., etc.)",4
Hungary,"Independent contractor, freelancer, or self-employed",129720.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
India,Employed full-time,11400.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
India,Employed full-time,1675.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United States,Employed full-time,110000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21
Romania,Employed full-time,38916.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
United States,Employed full-time,140000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
United Kingdom,Employed full-time,45241.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",5
United Kingdom,Employed full-time,38778.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Spain,Employed full-time,505896.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",13
Germany,Employed full-time,71345.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
Czech Republic,Employed full-time,3291.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
Denmark,Employed full-time,79896.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
France,Employed full-time,36213.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
United Kingdom,Employed full-time,129259.0,Some college/university study without earning a degree,10
Sweden,Employed full-time,51552.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",15
United States,Employed full-time,56100.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Denmark,Employed full-time,78156.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
United Kingdom,"Independent contractor, freelancer, or self-employed",77556.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30
Poland,Employed full-time,24300.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
Pakistan,Employed full-time,16812.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
Netherlands,Employed full-time,42158.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1
Brazil,Employed full-time,10992.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
United States,Employed full-time,57000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Spain,Employed full-time,272412.0,Some college/university study without earning a degree,2
United Kingdom,Employed full-time,54289.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",3
Czech Republic,Employed full-time,64956.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19
United Kingdom,Employed full-time,90482.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
Kuwait,Employed full-time,32364.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Switzerland,Employed part-time,67092.0,Some college/university study without earning a degree,20
Germany,Employed full-time,91883.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21
United States,Employed full-time,90000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
Switzerland,Employed full-time,60984.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11
Italy,Employed full-time,37834.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14
United Kingdom,Employed full-time,51704.0,Some college/university study without earning a degree,4
Greece,Employed full-time,18804.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Germany,Employed full-time,45401.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Germany,Employed full-time,972888.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United Kingdom,Employed full-time,70123.0,Some college/university study without earning a degree,14
Spain,"Independent contractor, freelancer, or self-employed",59454.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16
United Kingdom,Employed full-time,1000000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
Italy,"Independent contractor, freelancer, or self-employed",86478.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
Germany,"Independent contractor, freelancer, or self-employed",86478.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
France,Employed full-time,34051.0,"Associate degree (A.A., A.S., etc.)",3
Sweden,Employed full-time,55968.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
United Kingdom,"Independent contractor, freelancer, or self-employed",148650.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",34
Lithuania,Employed full-time,33732.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
France,Employed full-time,48644.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
United Kingdom,Employed full-time,38778.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United Kingdom,Employed full-time,46533.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Poland,Employed full-time,39492.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Spain,Employed full-time,54049.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9
Greece,Employed full-time,30267.0,"Associate degree (A.A., A.S., etc.)",4
Spain,Employed full-time,32970.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
United States,Employed full-time,100000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17
Netherlands,Employed full-time,54049.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Ukraine,Employed part-time,11748.0,Some college/university study without earning a degree,2
Italy,"Independent contractor, freelancer, or self-employed",38915.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",33
Sweden,"Independent contractor, freelancer, or self-employed",18408.0,I never completed any formal education,12
Germany,Employed full-time,61616.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Switzerland,Employed full-time,111814.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
United States,Employed full-time,124000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9
Germany,Employed full-time,86478.0,Some college/university study without earning a degree,20
Germany,Employed full-time,49725.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Germany,Employed full-time,94586.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12
Spain,Employed full-time,57724.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
United Kingdom,"Independent contractor, freelancer, or self-employed",90482.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",Less than 1 year
United Kingdom,Employed full-time,74970.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
United States,Employed full-time,185000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,Employed full-time,58167.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10
Brazil,Employed full-time,90489.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
Czech Republic,Employed full-time,29100.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Brazil,Employed full-time,16488.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Greece,Employed full-time,37834.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Netherlands,Employed full-time,108098.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
Dominican Republic,Employed full-time,14592.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Italy,Employed full-time,11028.0,Some college/university study without earning a degree,1
United Kingdom,Employed full-time,58167.0,"Associate degree (A.A., A.S., etc.)",20
India,Employed full-time,26808.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25
United Kingdom,Employed full-time,51704.0,Some college/university study without earning a degree,7
United States,Employed full-time,83522.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Germany,Employed full-time,82155.0,Some college/university study without earning a degree,22
United Kingdom,Employed full-time,19389.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",33
United States,Employed full-time,43500.0,Some college/university study without earning a degree,2
Netherlands,Employed full-time,59454.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
United Kingdom,Employed full-time,68816.0,"Professional degree (JD, MD, etc.)",3
Germany,Employed full-time,1000000.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
Russian Federation,Employed full-time,16416.0,"Professional degree (JD, MD, etc.)",2
Austria,Employed full-time,57292.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20
Russian Federation,Employed full-time,6600.0,"Professional degree (JD, MD, etc.)",10
Germany,Employed full-time,77831.0,"Other doctoral degree (Ph.D., Ed.D., etc.)",9
Netherlands,"Independent contractor, freelancer, or self-employed",140527.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16
Netherlands,Employed full-time,81074.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12
Italy,Employed full-time,27025.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7
Germany,Employed part-time,59454.0,Some college/university study without earning a degree,30
France,Employed full-time,87828.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
France,Employed full-time,40212.0,"Professional degree (JD, MD, etc.)",13
Netherlands,Employed full-time,108098.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",37
United States,Employed full-time,73000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Italy,Employed full-time,33510.0,"Associate degree (A.A., A.S., etc.)",10
United Kingdom,Employed full-time,542892.0,Some college/university study without earning a degree,7
Nigeria,"Independent contractor, freelancer, or self-employed",6588.0,Some college/university study without earning a degree,4
France,Employed full-time,37834.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
India,Employed full-time,117276.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6
Russian Federation,Employed full-time,23592.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",15
Germany,Employed full-time,59454.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4
Hungary,Employed full-time,21168.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3
France,Employed full-time,32429.0,Some college/university study without earning a degree,23
France,Employed full-time,51347.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2
Czech Republic,Employed full-time,16632.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Ghana,"Independent contractor, freelancer, or self-employed",11232.0,"Associate degree (A.A., A.S., etc.)",7
United Kingdom,"Independent contractor, freelancer, or self-employed",96950.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13
Brazil,Employed full-time,32664.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12
France,Employed full-time,56211.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25
Finland,Employed full-time,35676.0,Some college/university study without earning a degree,Less than 1 year
Sweden,Employed full-time,49092.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
United Kingdom,"Independent contractor, freelancer, or self-employed",129259.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10
Netherlands,Employed full-time,86478.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9
United States,Employed full-time,126000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20
Italy,Employed full-time,35672.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7
Switzerland,Employed full-time,92700.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Poland,Employed full-time,19740.0,Some college/university study without earning a degree,Less than 1 year
India,"Independent contractor, freelancer, or self-employed",8400.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8
United States,Employed full-time,105000.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7
Spain,"Independent contractor, freelancer, or self-employed",64860.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30
Portugal,Employed full-time,12972.0,Some college/university study without earning a degree,18
Poland,Employed full-time,36444.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6
Germany,"Independent contractor, freelancer, or self-employed",129720.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35
Ireland,Employed full-time,92964.0,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",23
United States,Employed full-time,150000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15
Netherlands,Employed full-time,118908.0,Some college/university study without earning a degree,6
Nigeria,Employed full-time,5904.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2
Canada,Employed full-time,102102.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11
United States,Employed full-time,798480.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1
Nigeria,Employed full-time,11256.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3
Germany,Employed full-time,64859.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20
Switzerland,Employed full-time,137226.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Nigeria,Employed full-time,23052.0,Some college/university study without earning a degree,7
Germany,Employed full-time,70264.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Switzerland,Employed full-time,142308.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15
Brazil,Employed full-time,16488.0,Some college/university study without earning a degree,12
France,Employed full-time,48644.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8
Uganda,Employed full-time,80172.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
United Kingdom,Employed full-time,67215.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Serbia,"Independent contractor, freelancer, or self-employed",50400.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7
United States,Employed full-time,52500.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5
Kenya,Employed full-time,12336.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Germany,Employed full-time,51887.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
Netherlands,Employed full-time,642108.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4
Chile,Employed full-time,36132.0,"Professional degree (JD, MD, etc.)",11
United Kingdom,Employed full-time,23267.0,Some college/university study without earning a degree,3
Brazil,Employed full-time,7416.0,Some college/university study without earning a degree,2
France,Employed full-time,101649.0,Some college/university study without earning a degree,12
Sri Lanka,Employed full-time,16488.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7
Belgium,Employed full-time,42804.0,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5
United States,Employed full-time,115000.0,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10
Canada,Employed full-time,31765.0,Some college/university study without earning a degree,12
Israel,Employed full-time,122580.0,Some college/university study without earning a degree,17
